NO.,DATA SOURCE,DATABASE TABLE NAME/ FOLDER NAME / FILE NAME ,TABLE NAME,TABLE DESCRIPTION/SUB FOLDER NAME ,FIELD NAME/DATA ATTRIBUTE(S),FIELD DESCRIPTION,ATTACHMENT /REFERENCE (IF ANY) ,MASTER DATA TYPE,SCREEN NAME,PRIMARY KEY ,FOREIGN KEY , IDENTIFIER ,MANDATORY,DATA TYPE,DATA LENGTH,DATA DOMAIN ,DATA GROUP ,DATA ENTITY,DATA ELEMENT,CRITICAL DATA ELEMENT (CDE),DATA CLASSIFICATION,RETENTION PERIOD,PERSONAL DATA,DATA OWNER,EXECUTIVE DATA STEWARD,BUSINESS DATA STEWARD ,DATA ANALYST, COMMENT/NOTE,LAST UPDATED DATE,LAST UPDATED BY
1,MI_V4030005 - System Tables,dbo.MI_ENTITIES,Entities,Entities comprises information that organizational unit that is used for classifying elements within organization. Each entity family has a corresponding entity family table in the GE Digital APM database.,ENTY_KEY,System generated field:Entity Key,N/A,Master Data ,System generated field:Entity Key,Y,N,No,Yes ,bigint,8,Physical Asset Management,Reliability Management,N/A,N/A,Yes ,Internal,7 Years,Not Available,Kamal Bahrin B Ahmad,Azureen Azita Bt Abdullah,M Sharuddin B M Nasir,"Nor Aesha
A Shafeeq A Shahar",,18/7/2023,Wan M Hafiz Wan Rosdi
2,MI_V4030005 - System Tables,dbo.MI_ENTITIES,Entities,Entities comprises information that organizational unit that is used for classifying elements within organization. Each entity family has a corresponding entity family table in the GE Digital APM database.,FMLY_KEY,System generated field:Family Key,N/A,Master Data ,System generated field:Family Key,Y,N,No,Yes ,bigint,8,Physical Asset Management,Reliability Management,N/A,N/A,Yes ,Internal,7 Years,Not Available,Kamal Bahrin B Ahmad,Azureen Azita Bt Abdullah,M Sharuddin B M Nasir,"Nor Aesha
A Shafeeq A Shahar",,18/7/2023,Wan M Hafiz Wan Rosdi
3,MI_V4030005 - System Tables,dbo.MI_ENTITIES,Entities,Entities comprises information that organizational unit that is used for classifying elements within organization. Each entity family has a corresponding entity family table in the GE Digital APM database.,ENTY_ID,System generated field:Entity ID,N/A,Master Data ,System generated field:Entity ID,N,N,No,Yes,nvarchar,255,Physical Asset Management,Reliability Management,N/A,N/A,Yes ,Internal,7 Years,Not Available,Kamal Bahrin B Ahmad,Azureen Azita Bt Abdullah,M Sharuddin B M Nasir,"Nor Aesha
A Shafeeq A Shahar",,18/7/2023,Wan M Hafiz Wan Rosdi
4,MI_V4030005 - System Tables,dbo.MI_ENTITIES,Entities,Entities comprises information that organizational unit that is used for classifying elements within organization. Each entity family has a corresponding entity family table in the GE Digital APM database.,ENTY_CAPTION_TX,System generated field:Entity Caption,N/A,Master Data ,System generated field:Entity Caption,N,N,No,Yes,nvarchar,255,Physical Asset Management,Reliability Management,N/A,N/A,No,Internal,7 Years,Not Available,Kamal Bahrin B Ahmad,Azureen Azita Bt Abdullah,M Sharuddin B M Nasir,"Nor Aesha
A Shafeeq A Shahar",,18/7/2023,Wan M Hafiz Wan Rosdi
5,MI_V4030005 - System Tables,dbo.MI_ENTITIES,Entities,Entities comprises information that organizational unit that is used for classifying elements within organization. Each entity family has a corresponding entity family table in the GE Digital APM database.,LAST_UPDT_DT,System generated field:Last Updated Date,N/A,Master Data ,System generated field:Last Updated Date,N,N,No,Yes,datetime,8,Physical Asset Management,Reliability Management,N/A,N/A,Yes ,Internal,7 Years,Not Available,Kamal Bahrin B Ahmad,Azureen Azita Bt Abdullah,M Sharuddin B M Nasir,"Nor Aesha
A Shafeeq A Shahar",,18/7/2023,Wan M Hafiz Wan Rosdi
6,MI_V4030005 - System Tables,dbo.MI_ENTITIES,Entities,Entities comprises information that organizational unit that is used for classifying elements within organization. Each entity family has a corresponding entity family table in the GE Digital APM database.,LAST_UPBY_SEUS_KEY,System generated field:Last Updated Security User Key,N/A,Master Data ,System generated field:Last Updated Security User Key,Y,N,No,Yes ,bigint,8,Physical Asset Management,Reliability Management,N/A,N/A,Yes ,Internal,7 Years,Not Available,Kamal Bahrin B Ahmad,Azureen Azita Bt Abdullah,M Sharuddin B M Nasir,"Nor Aesha
A Shafeeq A Shahar",,18/7/2023,Wan M Hafiz Wan Rosdi
7,MI_V4030005 - System Tables,dbo.MI_ENTITIES,Entities,Entities comprises information that organizational unit that is used for classifying elements within organization. Each entity family has a corresponding entity family table in the GE Digital APM database.,LOCK_SEQ_NBR,System generated field:Locked Sequence Number,N/A,Master Data ,System generated field:Locked Sequence Number,N,N,No,No,bigint,8,Physical Asset Management,Reliability Management,N/A,N/A,No,Internal,7 Years,Not Available,Kamal Bahrin B Ahmad,Azureen Azita Bt Abdullah,M Sharuddin B M Nasir,"Nor Aesha
A Shafeeq A Shahar",,18/7/2023,Wan M Hafiz Wan Rosdi
8,MI_V4030005 - System Tables,dbo.MI_ENTITIES,Entities,Entities comprises information that organizational unit that is used for classifying elements within organization. Each entity family has a corresponding entity family table in the GE Digital APM database.,ENTY_SEC_DFLT_PRIV_CD,System generated field:Entity_SEC_DFLT_PRIV_CD,N/A,Master Data ,System generated field:Entity_SEC_DFLT_PRIV_CD,N,N,No,No,decimal,5,Physical Asset Management,Reliability Management,N/A,N/A,No,Internal,7 Years,Not Available,Kamal Bahrin B Ahmad,Azureen Azita Bt Abdullah,M Sharuddin B M Nasir,"Nor Aesha
A Shafeeq A Shahar",,18/7/2023,Wan M Hafiz Wan Rosdi
9,MI_V4030005 - System Tables,dbo.MI_ENTITIES,Entities,Entities comprises information that organizational unit that is used for classifying elements within organization. Each entity family has a corresponding entity family table in the GE Digital APM database.,ENTY_SYS_FLG,System generated field:Entity_SYS_FLG,N/A,Master Data ,System generated field:Entity_SYS_FLG,N,N,No,Yes,nvarchar,1,Physical Asset Management,Reliability Management,N/A,N/A,No,Internal,7 Years,Not Available,Kamal Bahrin B Ahmad,Azureen Azita Bt Abdullah,M Sharuddin B M Nasir,"Nor Aesha
A Shafeeq A Shahar",,18/7/2023,Wan M Hafiz Wan Rosdi
10,MI_V4030005 - System Tables,dbo.MI_ENTITIES,Entities,Entities comprises information that organizational unit that is used for classifying elements within organization. Each entity family has a corresponding entity family table in the GE Digital APM database.,CONTENT_GUID,System generated field:Content Guide,N/A,Master Data ,System generated field:Content Guide,N,N,No,Yes,binary,16,Physical Asset Management,Reliability Management,N/A,N/A,No,Internal,7 Years,Not Available,Kamal Bahrin B Ahmad,Azureen Azita Bt Abdullah,M Sharuddin B M Nasir,"Nor Aesha
A Shafeeq A Shahar",,18/7/2023,Wan M Hafiz Wan Rosdi
