DATA ELEMENT,ENTY_KEY,FMLY_KEY,ENTY_ID,ENTY_CAPTION_TX,LAST_UPDT_DT
Wind Speed,0.4297,0.2509,0.5604,0.4048,0.5626
Significant Wave Height,0.5389,0.4045,0.6885,0.7149,0.4284
Maximum Wave Height,0.371,0.4874,0.4148,0.412,0.425
Associated Maximum Wave Period,0.3578,0.4938,0.4728,0.5254,0.6602
Spectral Peak Period,0.4428,0.4137,0.3961,0.5364,0.6667
Zero Crossing Period,0.3012,0.201,0.3849,0.4518,0.2817
Current Speed,0.5196,0.2023,0.4518,0.4663,0.5669
Air Temperature,0.5185,0.3853,0.4743,0.533,0.6172
Sea Temperature,0.5477,0.3731,0.4082,0.4792,0.6873
Relative Humidity,0.6583,0.5913,0.7926,0.6543,0.5967
Solar Radiation,0.2532,0.3548,0.4529,0.5725,0.5635
QFE,0.2981,0.3482,0.1667,0.1204,0.1952
QNH,0.1491,0.0,0.1667,0.2408,0.0
"Pitch, Tilt and Roll",0.4243,0.3303,0.6325,0.7233,0.5864
Cloud Height,0.3581,0.2509,0.4804,0.4627,0.4688
Visibility,0.4404,0.45,0.677,0.5335,0.1802
Visibility,0.4404,0.45,0.677,0.5335,0.1802
Maximum Force,0.1826,0.4975,0.2041,0.2949,0.239
Member Unity Check (UC),0.5756,0.4654,0.4456,0.5006,0.3189
Risk Rating,0.414,0.3223,0.5401,0.5573,0.3162
Outside Diameter,0.5963,0.4062,0.7222,0.6019,0.7482
Wall Thickness,0.4384,0.4388,0.4201,0.5057,0.492
Specified Minimum Yield Strength,0.6261,0.557,0.7667,0.6501,0.488
Concrete Coating Thickness,0.6,0.2725,0.5963,0.7807,0.4364
Outside Diameter,0.5963,0.4062,0.7222,0.6019,0.7482
Specified Minimum Yield Strength,0.6261,0.557,0.7667,0.6501,0.488
Wall Thickness,0.4384,0.4388,0.4201,0.5057,0.492
Young's Modulus (Steel),0.3873,0.3518,0.3368,0.3475,0.5071
Steel Poisson Ratio,0.4801,0.3058,0.5367,0.6697,0.5143
Thermal Expansion Coefficient,0.5951,0.5019,0.6283,0.7742,0.4978
Steel Density,0.7707,0.45,0.7385,0.6224,0.6487
Corrosion Coating Thickness,0.4163,0.2244,0.5013,0.6983,0.2935
Corrosion Coating Density,0.4874,0.2846,0.6228,0.7591,0.3647
Concrete Coating Density,0.6938,0.3411,0.7348,0.8552,0.5259
Concrete Compressive Strength,0.5665,0.2437,0.5,0.626,0.4489
Product Density,0.6086,0.2843,0.7485,0.7372,0.6773
Seawater Density,0.6957,0.4642,0.6667,0.6421,0.7482
Operating Pressure,0.4495,0.2624,0.402,0.5082,0.5002
Operating Temperature,0.5963,0.3482,0.5417,0.6621,0.6343
Hydrotest Pressure,0.5094,0.2478,0.4271,0.4114,0.5558
Launcher/Receiver Platform Water Depth,0.5064,0.4139,0.4529,0.5521,0.6298
Surface Current Velocity (1/100 year),0.5809,0.49,0.4691,0.5734,0.5071
Maximum Wave Height (100 year),0.4725,0.5977,0.4402,0.4452,0.4898
Maximum Wave Period (100 year),0.3937,0.5977,0.3962,0.4134,0.5155
Significant Wave Height (1/100 year),0.6156,0.5192,0.6882,0.7181,0.4926
Significant Wave Period (1/100 year),0.5675,0.5384,0.6741,0.716,0.534
Max Air Temperature,0.4548,0.4345,0.416,0.5008,0.6225
Seawater Temperature (surface),0.4899,0.3814,0.3651,0.4616,0.6771
Seabed Temperature,0.5512,0.3678,0.4402,0.4452,0.7218
Bottom of Pipe to Seabed,0.4845,0.3046,0.5,0.632,0.5855
Soil Type,0.639,0.533,0.6124,0.6635,0.4781
Trench Depth from Mean Seabed,0.5378,0.3925,0.4886,0.5429,0.6602
Outside Diameter,0.5963,0.4062,0.7222,0.6019,0.7482
Wall Thickness,0.4384,0.4388,0.4201,0.5057,0.492
Design Factor,0.4472,0.3482,0.5833,0.6621,0.5855
Material Type,0.6694,0.6396,0.6124,0.6881,0.7171
Defect Depth,0.5634,0.2632,0.5669,0.5005,0.7008
Defect Length,0.6351,0.3371,0.5809,0.5595,0.6047
Design Pressure,0.3904,0.2279,0.3819,0.3152,0.4472
Depth Sizing Tolerance,0.639,0.3731,0.7144,0.7741,0.6275
Length Sizing Tolerance,0.6049,0.3767,0.6312,0.7164,0.4752
Defect Type,0.7303,0.4264,0.6124,0.5898,0.6375
Corrosion Rate,0.3098,0.1809,0.3464,0.5421,0.3043
Kilometre Post (KP),0.568,0.4221,0.4619,0.5838,0.4733
Outside Diameter,0.5963,0.4062,0.7222,0.6019,0.7482
Wall Thickness,0.4384,0.4388,0.4201,0.5057,0.492
Corrosion Allowance,0.2041,0.286,0.2282,0.4945,0.294
Specified Minimum Yield Strength,0.6261,0.557,0.7667,0.6501,0.488
Span Height,0.4472,0.2611,0.5,0.6019,0.488
Trawl Vessel Density,0.6199,0.4654,0.5941,0.5364,0.6667
Trawling Velocity,0.6055,0.5143,0.677,0.7557,0.4685
Trawl Board Height,0.3689,0.3077,0.4714,0.5108,0.6211
Flaw Length,0.3727,0.4352,0.3333,0.4214,0.488
Operating Pressure,0.4495,0.2624,0.402,0.5082,0.5002
Outside Diameter,0.5963,0.4062,0.7222,0.6019,0.7482
Wall Thickness,0.4384,0.4388,0.4201,0.5057,0.492
Maximum Allowable Operating Pressure (MAOP),0.3186,0.5151,0.3014,0.475,0.5776
Dent KP,0.6325,0.2462,0.5893,0.5959,0.6211
Dent Profile,0.5729,0.4181,0.6405,0.6361,0.5626
Wall Thickness,0.4384,0.4388,0.4201,0.5057,0.492
Outside Diameter,0.5963,0.4062,0.7222,0.6019,0.7482
Operating Pressure,0.4495,0.2624,0.402,0.5082,0.5002
Maximum Allowable Working Pressure (MAWP),0.2677,0.5315,0.2395,0.3676,0.4732
Specified Minimum Tensile Strength,0.6358,0.464,0.7404,0.6846,0.4856
Flaw Depth,0.3443,0.402,0.3849,0.417,0.7325
Operating Temperature,0.5963,0.3482,0.5417,0.6621,0.6343
Gouge Depth,0.414,0.1612,0.3858,0.3901,0.5421
Gouge Length,0.4146,0.2075,0.3311,0.3827,0.349
Temperature Corresponding to 40 Joules (30 ft-lbs) of Toughness,0.5004,0.2922,0.4734,0.6061,0.5669
Specified Minimum Yield Strength,0.6261,0.557,0.7667,0.6501,0.488
Material Toughness (Charpy V-Notch),0.5042,0.3925,0.4886,0.7058,0.5942
Outside Diameter,0.5963,0.4062,0.7222,0.6019,0.7482
Wall Thickness,0.4384,0.4388,0.4201,0.5057,0.492
Maximum Allowable Working Pressure (MAWP),0.2677,0.5315,0.2395,0.3676,0.4732
Explosion Protection Gas Group,0.3785,0.221,0.4232,0.6623,0.413
Explosion Protection Temperature Class,0.5491,0.3498,0.5302,0.7257,0.6046
Explosion Protection Zone,0.4959,0.2316,0.5175,0.7208,0.3463
Tidal Levels,0.4146,0.4842,0.4636,0.3827,0.6592
Tidal Reference,0.5855,0.4558,0.5455,0.5123,0.575
Surge Level,0.3651,0.3553,0.2041,0.1474,0.3984
Black Bulb,0.0626,0.2925,0.0,0.1011,0.246
Wet Bulb,0.3443,0.201,0.2887,0.278,0.3944
Salinity,0.5715,0.5721,0.7303,0.7253,0.4276
Rainfall Intensity,0.611,0.5606,0.7319,0.7754,0.4857
Total Rainfall Amount,0.339,0.4398,0.4211,0.6387,0.6164
Barometric Pressure,0.377,0.2935,0.3278,0.4059,0.4387
Vessel Speed,0.3836,0.2799,0.268,0.1936,0.5022
Distance,0.5477,0.3198,0.7144,0.7372,0.7171
Tidal Height,0.501,0.3656,0.7001,0.6069,0.6149
Residual Height,0.4619,0.4045,0.5809,0.4663,0.6047
Water Level,0.4869,0.4264,0.3402,0.344,0.5578
Tidal Level,0.426,0.4975,0.4763,0.3932,0.6375
Rainfall Amount,0.2635,0.4924,0.3536,0.5533,0.5175
Wind Speed,0.4297,0.2509,0.5604,0.4048,0.5626
Swell Height,0.4384,0.3656,0.4201,0.354,0.41
Sea (Wind) Height,0.5331,0.3459,0.6623,0.574,0.5429
Wave Period,0.3727,0.3482,0.4167,0.4214,0.5367
Precipitation Rate,0.5943,0.347,0.7119,0.857,0.5836
Percentage,0.5809,0.3015,0.433,0.5734,0.5494
Product Tanker ,0.501,0.2194,0.4901,0.6574,0.6559
Panamax,0.0716,0.3345,0.0801,0.347,0.4688
Aframax,0.0,0.4181,0.0,0.1735,0.4219
Suezmax,0.1952,0.3419,0.1091,0.1576,0.4472
VLCC,0.0,0.1231,0.0,0.1703,0.069
ULCC,0.0,0.1231,0.0,0.1703,0.138
DCR,0.0,0.0,0.1667,0.1204,0.2928
O&M,0.0,0.2132,0.0,0.1474,0.0
Bareboat ,0.2981,0.2611,0.25,0.4214,0.5367
Mooring Line Diameter,0.5375,0.4828,0.6472,0.6344,0.4331
Mooring Line Length,0.4944,0.3674,0.5528,0.6171,0.2648
Mooring Footprint,0.3443,0.201,0.4811,0.6603,0.1972
Chain Tension,0.5196,0.2697,0.6455,0.7926,0.3402
Offloading Hose Diameter,0.4383,0.5118,0.5345,0.547,0.5999
Offloading Hose Length,0.377,0.3913,0.4215,0.5074,0.4387
Minimum Bending Radius,0.3354,0.3917,0.5833,0.4815,0.3416
Offloading Hose Tension,0.4143,0.3518,0.5053,0.6083,0.3945
Lightweight,0.4739,0.2767,0.596,0.5262,0.349
Deadweight,0.483,0.3223,0.6172,0.4458,0.7228
Transverse Centre Gravity,0.6281,0.3474,0.5544,0.614,0.5411
Longitudinal Centre Gravity,0.6384,0.4556,0.7534,0.802,0.5805
Vertical Centre Gravity,0.6403,0.4398,0.6316,0.6995,0.5424
Stability Indicator,0.5445,0.4402,0.7961,0.8118,0.5484
Length,0.527,0.2462,0.4714,0.5108,0.414
Roll,0.0,0.2462,0.0,0.0851,0.138
Heave,0.3904,0.3419,0.2182,0.2364,0.4472
Surge,0.2309,0.1348,0.1291,0.0933,0.3024
Yaw,0.2981,0.5222,0.1667,0.2408,0.2928
Pitch,0.3464,0.1348,0.5164,0.6528,0.3024
Sway,0.2582,0.4523,0.1443,0.2085,0.3381
Heading,0.3904,0.3419,0.5455,0.4729,0.5111
Velocity,0.639,0.533,0.6124,0.6635,0.3586
Acceleration,0.4869,0.4264,0.4763,0.6881,0.5578
Angular Velocity,0.4739,0.5534,0.4636,0.6219,0.5429
Angular Acceleration,0.3629,0.4238,0.3607,0.5862,0.5808
Plate Thickness,0.6351,0.4045,0.5809,0.6994,0.6425
Stiffener Size,0.568,0.4221,0.5774,0.5004,0.3719
Girder Size,0.3873,0.3015,0.5052,0.3128,0.3381
Wave,0.2582,0.3015,0.1443,0.2085,0.4226
Surface Current Speed,0.4331,0.2759,0.3522,0.4134,0.5671
Wind Speed,0.4297,0.2509,0.5604,0.4048,0.5626
Draft,0.2309,0.2697,0.3873,0.373,0.6803
Freeboard,0.2864,0.3345,0.2402,0.2313,0.4688
Pitch,0.3464,0.1348,0.5164,0.6528,0.3024
Sway,0.2582,0.4523,0.1443,0.2085,0.3381
Reaction Load,0.3873,0.3769,0.5052,0.6777,0.6339
Reaction Load,0.3873,0.3769,0.5052,0.6777,0.6339
Reaction Load,0.3873,0.3769,0.5052,0.6777,0.6339
Design Load,0.2981,0.3482,0.5,0.4214,0.6343
Compression,0.2667,0.2335,0.2981,0.4845,0.2182
LMU Diameter,0.4667,0.5449,0.5217,0.4307,0.6547
LMU Height,0.3892,0.3636,0.4352,0.3772,0.3568
Plate Thickness,0.6351,0.4045,0.5809,0.6994,0.6425
Stiffener Size,0.568,0.4221,0.5774,0.5004,0.3719
Design Load,0.2981,0.3482,0.5,0.4214,0.6343
Compression,0.2667,0.2335,0.2981,0.4845,0.2182
Fender Length,0.5774,0.3371,0.5164,0.4663,0.4914
Fender Height,0.5774,0.3371,0.5809,0.4663,0.4536
Plate Thickness,0.6351,0.4045,0.5809,0.6994,0.6425
Stiffener Size,0.568,0.4221,0.5774,0.5004,0.3719
Design Load,0.2981,0.3482,0.5,0.4214,0.6343
Compression,0.2667,0.2335,0.2981,0.4845,0.2182
DSU length,0.4303,0.201,0.4811,0.417,0.6198
DSU Height,0.3892,0.1818,0.5222,0.3772,0.5096
Plate Thickness,0.6351,0.4045,0.5809,0.6994,0.6425
Stiffener Size,0.568,0.4221,0.5774,0.5004,0.3719
Thruster Power,0.4307,0.1257,0.3612,0.4348,0.4582
Pump Rating,0.2981,0.2611,0.4167,0.6019,0.4392
Ballast Volume,0.2254,0.4606,0.189,0.3185,0.5902
Force,0.2309,0.2697,0.1291,0.2798,0.1512
Stress,0.2981,0.087,0.25,0.2408,0.3904
Structural Natural Period,0.3482,0.2846,0.4282,0.5623,0.6838
