DATA ELEMENT,ENTY_KEY,FMLY_KEY,ENTY_ID,ENTY_CAPTION_TX,LAST_UPDT_DT
Wind Speed,0.3636,0.2143,0.5,0.3846,0.4167
Significant Wave Height,0.3333,0.2941,0.3333,0.4375,0.2941
Maximum Wave Height,0.2667,0.3125,0.2667,0.2941,0.3125
Associated Maximum Wave Period,0.2105,0.25,0.2778,0.4444,0.4706
Spectral Peak Period,0.3333,0.375,0.3333,0.5333,0.5714
Zero Crossing Period,0.2667,0.1667,0.3571,0.4667,0.3125
Current Speed,0.3077,0.1176,0.4167,0.4286,0.5833
Air Temperature,0.3333,0.3846,0.3333,0.4615,0.5
Sea Temperature,0.2308,0.2857,0.2308,0.3571,0.6364
Relative Humidity,0.3333,0.4667,0.4286,0.3529,0.4667
Solar Radiation,0.3077,0.2667,0.4167,0.4286,0.4615
QFE,0.1111,0.2,0.1111,0.0833,0.0909
QNH,0.1111,0.0,0.1111,0.0833,0.0
"Pitch, Tilt and Roll",0.2667,0.2353,0.3571,0.5714,0.4
Cloud Height,0.2857,0.25,0.3846,0.4,0.4286
Visibility,0.2727,0.2308,0.2727,0.2143,0.2308
Visibility,0.2727,0.2308,0.2727,0.2143,0.2308
Maximum Force,0.2,0.4286,0.2,0.4,0.25
Member Unity Check (UC),0.5385,0.375,0.4286,0.4375,0.2222
Risk Rating,0.4545,0.2857,0.3333,0.3571,0.2857
Outside Diameter,0.2857,0.3333,0.3846,0.4,0.5385
Wall Thickness,0.4615,0.4,0.3571,0.4667,0.4
Specified Minimum Yield Strength,0.3333,0.3684,0.4118,0.4211,0.4444
Concrete Coating Thickness,0.4286,0.2941,0.3333,0.5333,0.2941
Outside Diameter,0.2857,0.3333,0.3846,0.4,0.5385
Specified Minimum Yield Strength,0.3333,0.3684,0.4118,0.4211,0.4444
Wall Thickness,0.4615,0.4,0.3571,0.4667,0.4
Young's Modulus (Steel),0.3571,0.3125,0.4615,0.375,0.5
Steel Poisson Ratio,0.3846,0.3333,0.3846,0.6154,0.5385
Thermal Expansion Coefficient,0.2778,0.3889,0.2778,0.5294,0.3889
Steel Density,0.6,0.3846,0.7778,0.4615,0.5
Corrosion Coating Thickness,0.4286,0.2941,0.3333,0.5333,0.2941
Corrosion Coating Density,0.4286,0.2941,0.5385,0.6429,0.375
