DATA ELEMENT,ENTY_KEY,FMLY_KEY,ENTY_ID,ENTY_CAPTION_TX,LAST_UPDT_DT,LAST_UPBY_SEUS_KEY,LOCK_SEQ_NBR,ENTY_SEC_DFLT_PRIV_CD,ENTY_SYS_FLG,CONTENT_GUID,ENTY_ROWVERSION,CRT_DT,CRTBY_SEUS_KEY,MI_SITE_KEY,ENRL_KEY,PRED_ENTY_KEY,SUCC_ENTY_KEY,RLDF_KEY,FMLY_TYPE_CD,FMLY_ID,FMLY_DB_VIEW_NM,FMLY_PHYS_TBL_NM,CUST_PROJ_KEY,CUST_CDIT_KEY,FMLY_CUST_CLS_NM,FMLY_DESC_TX,FMLY_CAPTION_TX,FMLY_ID_TEMPL_TX,FMLY_PHYS_LOC_TX,FMLY_PHYS_LOC_PARMS_TX,FMLY_ICON_BIN,PAR_FMLY_KEY,FMLY_SYS_FLG,FMLY_STAT_IND,EXPL_CTIT_KEY,FMLY_STATES_ENABLED_FLG,FMLY_REDIRECT_URL_TX,FMLY_REDIRECT_FLG,QERY_CTIT_KEY,FMLY_ADTBLE_FLG,FMLY_RULE_LOCK_FLG,SITE_PRED_REL_FMLY_KEY,FMLY_TEXT_SEARCH_BOOST_NBR,FMLY_TEXT_SEARCH_EXCLD_FLG,FMLY_EXE_MODE_IND,FMLY_SITE_FILTERED_FLG,FMSM_KEY,SMSM_KEY,FMSM_HIDDEN_FLG,FMSM_STAT_IND,SMST_KEY,SMST_ID,SMST_CAPTION_TX,SMST_ROLE_DESC_TX,SMST_RESERVED_FLG,SMST_INITIAL_STATE_FLG,SMST_ICON_BIN,SMST_STAT_IND,SMST_REQ_USER_FLG,SMSA_KEY,SEUS_KEY
Functional Location,0.4286,0.1429,0.3125,0.1429,0.0,0.0,0.0,0.0,0.1429,0.1429,0.0605,0.0,0.0,0.2222,0.0,0.4333,0.1429,0.0,0.0,0.0,0.0,0.1333,0.1875,0.0,0.0,0.0,0.0,0.1429,0.4286,0.4167,0.0,0.0,0.0,0.0909,0.1429,0.0,0.0,0.0,0.0333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0372,0.024,0.0,0.0,0.0,0.0,0.0444,0.0,0.0,0.0,0.0,0.0,0.0,0.0714,0.0
Superior Functional Location,0.4286,0.0,0.1745,0.1429,0.0,0.0,0.0833,0.0,0.0,0.1714,0.0,0.0,0.0,0.1389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.0,0.0,0.0,0.0753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Description,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inventory No.,0.0,0.0,0.0,0.0,0.0,0.0,0.4167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Class,0.0,0.0,0.0,0.1429,0.0,0.0,0.0,0.0,0.0,0.0333,0.0,0.0,0.0,0.0,0.0526,0.0,0.0667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4286,0.0,0.0,0.0,0.0,0.0,0.0,0.0909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1429,0.0,0.0,0.0
Company Code,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1429
Planning Plant,0.4286,0.0,0.3125,0.4118,0.0,0.0,0.0346,0.0333,0.1429,0.0714,0.0388,0.0,0.0,0.1429,0.0,0.1745,0.0753,0.0407,0.0,0.0,0.0,0.1429,0.0,0.0,0.0667,0.0,0.0833,0.0333,0.0,0.0,0.0,0.0,0.0,0.0,0.0444,0.0,0.0372,0.0,0.0333,0.0,0.0,0.0333,0.0333,0.0333,0.0222,0.0,0.1429,0.0388,0.0346,0.0,0.0,0.0,0.0231,0.0244,0.0,0.0,0.0,0.0385,0.0,0.0388,0.0
Maintenance Plant,0.2182,0.0455,0.1429,0.3125,0.0,0.0333,0.0455,0.0714,0.0333,0.0666,0.0497,0.0,0.0263,0.1429,0.0666,0.1429,0.0,0.0753,0.0333,0.0,0.0333,0.0333,0.0,0.0,0.0333,0.0,0.0444,0.0714,0.0333,0.0372,0.0372,0.0333,0.0457,0.0,0.0,0.0,0.0333,0.0,0.0253,0.0,0.0,0.0372,0.0269,0.0396,0.1429,0.0,0.0393,0.0383,0.0338,0.0333,0.0,0.0,0.0359,0.1429,0.0,0.0333,0.0388,0.0333,0.0246,0.0753,0.0909
Planner Group,0.25,0.0,0.0,0.1429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1429,0.0,0.0,0.1429,0.0333,0.0,0.0,0.0,0.0444,0.0,0.0,0.0,0.0,0.0444,0.0333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1429,0.0,0.0,0.0,0.0,0.0333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Main Work Center,0.1429,0.0,0.4286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0333,0.0,0.0,0.0,0.0333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
